Description,Defender Example Generator,Attacker Example Generator,General Example Generator
Dunning–Kruger effect: The tendency for unskilled individuals to overestimate their own ability and the tendency for experts to underestimate their own ability.,"""I think I'm capable of fully understanding and implementing this new security solution on my own, without seeking help from experts, even though I have limited experience and knowledge in this area.""","""I believed that I had an expert-level understanding of the security landscape and failed to consider the possibility that there were gaps in my knowledge, due to the Dunning-Kruger effect and overestimating my own abilities.""","""I am an expert in my field but this task seems too easy for me, I must not have understood it properly"""
Duration neglect: The neglect of the duration of an episode in determining its value.,"""I think this new security solution is a good investment, because it provides immediate benefits, without considering how long it will take to fully implement or how long its benefits will last.""","""I focused on the immediate gains of the successful attack, neglecting the long-term impact on the organization and its reputation, due to duration neglect and a failure to consider the full consequences of my actions.""","""This pain is tolerable as long as it's short-lived, I can put up with it."""
"Empathy gap: The tendency to underestimate the influence or strength of feelings, in either oneself or others.","""I don't understand why my colleagues are so concerned about this new cyber attack and its potential impact on our network, because I don't share their level of emotional investment in our security.""","""I underestimated the impact that the attack had on the organization and its employees, failing to fully appreciate the emotional and financial toll it took on them, due to an empathy gap and a lack of understanding of their perspective.""","""I would never cry over something like that, I can't understand how he can be so emotional about it."""
Endowment effect: The tendency for people to demand much more to give up an object than they would be willing to pay to acquire it.,"""I'm asking for a high price for this security solution that we no longer need, because I've become attached to it and don't want to let it go, even though it's no longer serving our needs.""","""I demanded a high ransom amount from the organization to relinquish my control over their data, based on the endowment effect and the belief that I had a strong bargaining position due to my control over their assets.""","""I wouldn't sell this for less than double what I paid for it, it has sentimental value to me."""
"Exaggerated expectation: Based on the estimates,","""I have high expectations for this new security solution and believe it will solve all of our problems, even though I haven't thoroughly researched its limitations and potential challenges.""","""I assumed that the attack would be successful and that I would be able to breach the network with ease, based on exaggerated expectations and overconfidence in my own abilities.""","""I expect this to be the best thing ever, it's probably going to be just okay."""
"Experimenter’s or expectation bias: The tendency for experimenters to believe, certify, and publish data that agree with their expectations for the outcome of an experiment, and to disbelieve, discard, or downgrade the corresponding weightings for data that appear to conflict with those expectations.","""I'm interpreting the results of this security experiment in a way that confirms my expectations, even though the data might not be as clear or favorable as I want to believe.""","""I interpreted the results of the attack in a way that confirmed my prior expectations, selectively emphasizing data that supported my hypothesis and downgrading data that conflicted with my expectations, leading to potential errors in my analysis and understanding of the situation.""","""I've expected this outcome, I am sure this is the right conclusion, I am going to discard the data that doesn't fit my hypothesis."""
Focusing effect: The tendency to place too much importance on one aspect of an event.,"""I'm focusing too much on the immediate benefits of this new security solution, without considering its long-term impact on our network and security posture.""","""I became overly focused on a single vulnerability in the organization's network, failing to consider other potential weaknesses and overall security posture, which led me to overlook other potential avenues for attack.""","""I only care about the color of this shirt and I am not paying attention to anything else."""
"Forer effect or Barnum effect: The observation that individuals will give high accuracy ratings to descriptions of their personality that supposedly are tailored specifically for them, but are in fact vague and general enough to apply to a wide range of people. This effect can provide a partial explanation for the widespread acceptance of some beliefs and practices, such as astrology, fortune telling, graphology, and some types of personality tests.","""I believe that this security assessment is highly accurate and specifically tailored to our network, even though it's a generic report that could apply to many other networks as well.""","""I used social engineering tactics to gain the trust of my target, using vague and general statements about their personality and interests, which were tailored to apply to a wide range of people but made them feel that I had a deep understanding of their unique characteristics.""","""I am an extrovert and this horoscope is written for an extrovert, it must be true for me."""
"Form function attribution bias: In human–robot interaction, the tendency of people to make systematic errors when interacting with a robot. People may base their expectations and perceptions of a robot on its appearance (form) and attribute functions which do not necessarily mirror the true functions of the robot.","""I'm making assumptions about this new security robot based on its appearance and design, without fully understanding its capabilities and limitations in protecting our network.""","""I assumed that the robot used by the organization was less effective than human security personnel, due to its form and appearance, without fully considering the robot's true capabilities and its effectiveness in a security context.""","""This robot must be able to do everything, because it looks like a human"""
"Framing effect: Drawing different conclusions from the same information, depending on how that information is presented.","""I'm drawing different conclusions about the effectiveness of this new security solution based on the way the results are framed, without considering all of the relevant information and factors.""","""I presented the attack to my team in a way that emphasized the potential rewards of success, rather than the potential risks and ethical considerations, influencing their judgment and leading them to support the attack without fully considering all aspects of the situation.""","""I would rather have a 90% chance of saving 200 people and a 10% chance of saving no one, than a 20% chance of saving 600 people and an 80% chance of saving no one, even though the numbers are the same."""
"Frequency illusion: The illusion in which a word, a name, or other thing that has recently come to one’s attention suddenly seems to appear with improbable frequency shortly afterwards (not to be confused with the recency illusion or selection bias).","""I'm noticing a lot of references to this new security solution lately, and I think it's becoming more popular, even though it might just be a coincidence or my perception being influenced by the frequency illusion.""","""After discovering a potential vulnerability in the network, I began to see the same vulnerability in other networks, due to the frequency illusion and an increased awareness of the vulnerability.""","""I've just learned about this new term, and now I keep seeing it everywhere."""
Functional fixedness: Limits a person to using an object only in the way it is traditionally used.,"""I'm using this security tool only in the way it was designed to be used, and I can't see any other potential applications or creative solutions for using it to enhance our security.""","""I limited myself to using standard attack methods and tools, failing to consider alternative approaches or unconventional uses for existing tools due to functional fixedness and a lack of creativity.""","""I can't use this brick as a weight for my exercise because it's for building"""
"Gambler’s fallacy: The tendency to think that future probabilities are altered by past events, when in reality they are unchanged. The fallacy arises from an erroneous conceptualization of the law of large numbers. For example, “I’ve flipped heads with this coin five times consecutively, so the chance of tails coming out on the sixth flip is much greater than heads.”","""I think the odds of a successful cyber attack on our network are lower now, because we've been lucky and haven't had any incidents in a while, even though past events don't affect future probabilities and our security measures might not be as effective as we think.""","""I believed that the success of the previous attacks made it more likely that subsequent attacks would also be successful, despite the fact that the outcomes of each individual attack were independent and not influenced by past successes or failures","""I've lost the last five games, I am due for a win, this time I will definitely win."""
"Hard–easy effect: Based on a specific level of task difficulty, the confidence in judgments is too conservative and not extreme enough.","""I'm overly confident in my assessments of the difficulty of implementing this new security solution, without considering the potential challenges and obstacles that might arise.""","""I was overly cautious in my attack approach, failing to take appropriate risks or push the boundaries of my methods, due to a lack of confidence in my ability to execute the attack successfully.""","""This test is too easy, I am sure I got every question right, but in reality I missed a few."""
"Hindsight bias: Sometimes called the “I-knew-it-all-along” effect, the tendency to see past events as being predictable","""I think I knew all along that this security solution wouldn't work as well as we hoped, even though I didn't have any evidence or reason to believe that before it was implemented.""","""I convinced myself that the success of the attack was inevitable, despite the fact that it was not a foregone conclusion and many factors could have impacted the outcome.""","""I knew he would make that mistake, I saw it coming from a mile away, even though I had no reason to predict that outcome before it happened."""
"Hostile attribution bias: The “hostile attribution bias” is the tendency to interpret others’ behaviors as having hostile intent, even when the behavior is ambiguous or benign.","""I'm assuming that the person who suggested this new security solution has a hidden agenda or is trying to sabotage our network, even though there's no evidence of hostility or malicious intent.""","""I assumed that the organization had intentionally tried to thwart my attack and responded with increased hostility, despite the possibility that their security measures were not intentionally directed at me.""","""He bumped into me on purpose, he must be trying to start a fight"""
Hot-hand fallacy: The “hot-hand fallacy” (also known as the “hot hand phenomenon” or “hot hand”) is the belief that a person who has experienced success with a random event has a greater chance of further success in additional attempts.,"""I think this new security solution is going to be successful just because it has worked well in other networks, even though our network might have different needs and risks, and success with a random event doesn't guarantee future success.""","""I continued with the same attack approach, believing that my previous successes made it more likely that I would be successful in future attempts, despite the fact that the outcomes of each individual attack were independent and not influenced by past successes.""","""I've been on a winning streak, I must be really lucky, I'll bet more money"""
"Hyperbolic discounting: Discounting is the tendency for people to have a stronger preference for more immediate payoffs relative to later payoffs. Hyperbolic discounting leads to choices that are inconsistent over time – people make choices today that their future selves would prefer not to have made, despite using the same reasoning.","""I'm prioritizing short-term gains and convenience in our security measures, even though they might compromise our long-term security and lead to regret in the future.""","""I chose to execute the attack in the present, prioritizing the immediate payoff of potential gains over the long-term consequences and risks associated with the attack.""","""I want that candy bar now, even though I know it will ruin my dinner later and I will regret it"""
Identifiable victim effect: The tendency to respond more strongly to a single identified person at risk than to a large group of people at risk.,"""I'm more concerned about the potential impact of this cyber attack on a specific person or group, rather than the overall risk and harm to our network, which might lead to an imbalanced allocation of resources and attention.""","""I targeted a specific high-value individual in the organization, rather than the organization as a whole, in order to maximize the potential payout of the attack and take advantage of the identifiable victim effect.""","""I am more willing to donate to the cause when I know the name of the person that it will help, rather than just a statistic"""
"IKEA effect: The tendency for people to place a disproportionately high value on objects that they partially assembled themselves, such as furniture from IKEA, regardless of the quality of the end result.","""I'm valuing this new security solution more highly, because I had a hand in implementing and configuring it, even though it might not be the best solution for our needs and might have flaws or limitations.""","""I wrote my own custom code for the attack, even though existing off-the-shelf tools would have been more effective, due to the value I placed on the effort and investment I had made in developing the code myself.""","""I put so much effort into building this furniture, I must like it more than it actually deserves."""
Illicit transference: Occurs when a term in the distributive (referring to every member of a class) and collective (referring to the class itself as a whole) sense are treated as equivalent. The two variants of this fallacy are the fallacy of composition and the fallacy of division.,"""I'm assuming that the security measures that work for one part of our network will automatically work for the entire network, or that the security risks faced by one part of our network are the same as the risks faced by the network as a whole, without considering the complexity and diversity of our network and the potential differences in security needs and solutions.""","""I assumed that the vulnerabilities of one part of the network were indicative of the vulnerabilities of the entire network, committing the fallacy of division and erroneously extrapolating a characteristic of a part to the whole.""","""I am only one person, but one person can make a difference, so my small actions don't matter"" or "" This team is great, every player must be great too"""
Illusion of control: The tendency to overestimate one’s degree of influence over other external events.,"""I think I have more control over the outcome of this new security solution, and I'm ignoring the potential external factors and uncertainties that might affect its performance and success.""","""I developed a preference for a particular attack approach that I had created and refined myself, despite its lower effectiveness compared to other methods, due to the value I placed on the effort and investment I had made in developing it.""","""I can control how the dice roll just by blowing on it and thinking positive thoughts"""
"Illusion of validity: Belief that our judgments are accurate, especially when available information is consistent or inter-correlated.","""I'm confident that my assessments of the effectiveness of this new security solution are accurate, even though I might be ignoring or overlooking critical information and sources of bias, and my judgments might not be as objective and valid as I think.""","""I felt overly confident in my ability to execute the attack successfully, due to my perception that the available information was consistent and inter-correlated, without fully considering the potential for errors or unknown variables that could impact the outcome.""","""I am sure my decision is right, all the signs point towards it."""
Illusory correlation: Inaccurately perceiving a relationship between two unrelated events.,"""I'm seeing a correlation between this new security solution and a recent cyber attack, even though there's no evidence of causality or connection, and I might be overlooking other factors that could have contributed to the attack.""","""I mistakenly attributed the success of my attack to the particular methods and tools that I used, rather than recognizing that the correlation between the two was illusory and that other factors may have contributed to my success.""","""I see a lot of people with brown hair committing crimes, brown hair must be a sign of a criminal."""
"Illusory truth effect: A tendency to believe that a statement is true if it is easier to process, or if it has been stated multiple times, regardless of its actual veracity. These are specific cases of truthiness.","I believe that this new security solution is the truth and the best solution, just because it has been repeated frequently and is easier to understand and implement, even though there might be alternative solutions with more advantages or fewer limitations.","""I included misleading information in my phishing email, knowing that the more frequently the recipient saw the statement, the more likely they would be to believe it and fall for the scam, despite its actual veracity.""","""I've heard this rumour so many times, it must be true"""
Impact bias: The tendency to overestimate the length or the intensity of the impact of future feeling states.,"""I think that the positive or negative effects of this new security solution will last longer and be stronger than they actually will be, and I'm ignoring the potential for adaptation and change in my feelings and attitudes.""","""I anticipated that the successful execution of my attack would provide me with long-lasting satisfaction and a sense of accomplishment, without considering the potential for negative consequences or the fleeting nature of the emotional impact of such an act.""","""I will be miserable for the rest of my life, if I fail this exam."""
Information bias: The tendency to seek information even when it cannot affect action.,"""I want to know more about this new security solution, even though the information won't change the decision or the outcome, and I might be wasting time and resources on irrelevant or redundant information.""","""I spent a significant amount of time gathering information about the target network, even though the information was not relevant to the specific attack approach I planned to use.""","""I don't need to know this information, but I just can't stop reading about it."""
Insensitivity to sample size: The tendency to under-expect variation in small samples.,"""I'm assuming that a small sample of data or feedback about this new security solution is representative and reliable, and that it can be generalized to the entire network, without considering the variability and uncertainty of the sample and the potential for sampling error.""","""I was overconfident in the effectiveness of my attack approach after successfully executing it on a small sample size of similar networks, without considering the possibility that the same approach might not be as successful on a larger scale or in different contexts.""","""This small sample of people must represent the entire population."""
"Irrational escalation: The phenomenon where people justify increased investment in a decision, based on the cumulative prior investment, despite new evidence suggesting that the decision was probably wrong. Also known as the sunk cost fallacy.","""I want to continue using this new security solution, even though it's not performing well or meeting expectations, because we've already invested a lot of time, money, and resources into it, and I don't want to admit that our original decision was incorrect.""","""I continued with my attack, despite encountering increased resistance from the network's security measures, as I had already invested significant resources and felt compelled to continue in order to justify my prior investment.""","""I've already put so much money into this project, I can't stop now, even though it's not working out."""
"Law of the instrument: An over-reliance on a familiar tool or methods, ignoring or under-valuing alternative approaches. “If all you have is a hammer, everything looks like a nail.”","""I'm using the same security tools and methods that I'm used to and comfortable with, even though they might not be the best or most effective for this new cyber attack, and I'm ignoring or dismissing other options or alternatives.""","""I used the same attack methods and tools that had worked for me in the past, without considering alternative approaches or adapting to the specific circumstances of the new network I was targeting.""","""I know this approach didn't work last time, but I am going to use it again anyway because it's the only tool in my toolbox"""
"Less-is-better effect: The tendency to prefer a smaller set to a larger set judged separately, but not jointly.","""I prefer to have a smaller set of security controls that are individually strong and effective, even though they might not cover all the possible attack scenarios or be enough to provide comprehensive security, instead of a larger set of controls that are individually weaker or less effective.""","""I chose to use a smaller, simpler attack approach, rather than a more complex one, as I believed that a simple approach would be more effective and easier to execute than a more comprehensive attack plan.""","""I want to buy the small box of chocolates, because it looks cuter, but when I see a bigger box of chocolates, I want that one instead."""
Look-elsewhere effect: An apparently statistically significant observation may have actually arisen by chance because of the size of the parameter space to be searched.,"""I might have found a security breach or vulnerability that looks statistically significant and important, but it could actually be a false positive or a random occurrence, given the large and complex network and systems that I'm searching, and I need to verify and validate it thoroughly before taking any action.""","""I conducted multiple exploratory attacks with a large number of potential vulnerabilities, making it more likely that I would stumble upon one that was successful purely by chance, rather than because of the effectiveness of my attack approach.""","""I've found a correlation in my data, but I should check if it's a false positive because of the large amount of variables I am investigating."""
Loss aversion: The disutility of giving up an object is greater than the utility associated with acquiring it.,"""I'm not willing to give up this security measure even if it is less efficient or less effective, because losing it would make me feel like I've lost something valuable and I would be reluctant to make that change.""","""I was hesitant to abandon my initial attack plan and switch to a different method, even when I realized that my current approach was not as effective, due to my aversion to the perceived 'loss' of the time and effort I had already invested in the plan.""","""I'd rather not sell my old car for $5,000 because I feel like I'd be losing out on its value, even though I could use the money for something I need more."""
Mere exposure effect: The tendency to express undue liking for things merely because of familiarity with them.,"""I've seen this software before, I think I'll go with it because it's familiar to me, even though I don't know much about it.""","""I targeted the network of an organization with a well-known name and reputation, as I believed that the mere exposure of their brand would increase the likelihood of success for my attack among unsuspecting users.""","""I think this song is great, I've heard it on the radio so many times, it's definitely one of my favorites now."""
Money illusion: The tendency to concentrate on the nominal value (face value) of money rather than its value in terms of purchasing power.,"""I'm hesitant to increase our cybersecurity budget, as the nominal cost of more advanced security measures seems high, even though the increased protection they would provide would be more valuable in the long run.""","""I did not consider the actual cost of the resources I used in the attack, focusing instead on the nominal value of the funds I had available for the operation.""","""I think I'm better off because my salary is $100,000 a year, even though the cost of living has gone up and I can't afford as much as I used to."""
Moral credential effect: The tendency of a track record of non-prejudice to increase subsequent prejudice.,"""I've been a defender for years now, and I've always tried to stay neutral and unbiased, but this new attack is just so outrageous that I can't help but feel that it's a personal affront to me.""","""I've been playing by the rules and avoiding illegal hacks, but now that I've built up a reputation, I feel confident enough to take risks and push the boundaries.""","""I've always considered myself an ally of marginalized communities, so I know I'm not racist, I can now make a few jokes that could be considered racist. """
Negativity bias or Negativity effect: Psychological phenomenon by which humans have a greater recall of unpleasant memories compared with positive memories.,"""I remember all the past cyber attacks we've had and how they negatively impacted our network, so I'm always on high alert for any new potential threats.""","""I'll exploit their tendency to remember negative experiences by planting false information about previous security breaches to weaken their defense.""","""I can't believe that meeting with my boss went so poorly, I can still recall every detail of what he said, but all the good meetings we had just blur together now."""
Neglect of probability: The tendency to completely disregard probability when making a decision under uncertainty.,"""I don't care how unlikely it is that this new cyber attack will succeed, I'm still going to install the strongest firewall I can find just to be safe.""","""I'll go for the high-risk attack, I can ignore the low probability of success, because the potential rewards are worth it.""","""I know the odds of winning the lottery are incredibly low, but I'm going to buy a ticket anyway because I just have a gut feeling that I'm going to win."""
